"Type Name","Type Id","Longitude","Request Id","Request Date","Latitude","_id","ID","Street Address"
"(nrs) Code Enforcement Inspection Requests",1906,-74.202315,315600,2015-05-27,40.725023,34,225575,"23 FARLEY AVE"
"(nrs) Garbage/Debris On Property",1509,-74.203337,315601,2015-05-27,40.725233,35,225576,"41 - 43 TREACY AVE"
"(cfwb) Rodent Control Complaint - 07108",256315,-74.2027109,315602,2015-05-27,40.72509,36,225577,"44 TREACY AVE"
"(eng) Potholes",3616,-74.162457,315603,2015-05-27,40.7818144,37,225578," MT PROSPECT AVE"
"(eng) Potholes",3616,-74.162457,315604,2015-05-27,40.7818144,38,225579," VERONA AVE"
"(eng) Potholes",3616,-74.1564275,315605,2015-05-27,40.7235282,39,225580," WARWICK ST"
"(cfwb) Animal Control Complaint - 07106",256296,-74.229338,315606,2015-05-27,40.7397777,40,225581,"192 BROOKDALE AVE"
"(nrs) Garbage/Debris On Property",1509,-74.17628,315607,2015-05-27,40.727535,41,225582,"1034 BROAD ST"
"(nrs) Litter Basket Placement",1519,-74.1751219,315608,2015-05-27,40.7584334,42,225583," BLOOMFIELD AVE"
"(nrs) Litter Basket Placement",1519,-74.1756365,315609,2015-05-27,40.7591925,43,225584," BLOOMFIELD AVE"
"(cfwb) Animal Control Complaint - 07112",256299,-74.2105791,315610,2015-05-27,40.7147513,44,225585,"84 - 86  SCHUYLER AVE"
"(nrs) No Heat/Hot Water",1524,-74.1830357,315611,2015-05-27,40.7274395,45,225586,"725 M.L.K. BLVD"
"(cfwb) CFWB Personnel Complaint",2090,-74.1668503,315612,2015-05-27,40.761432,46,225587," BROAD ST"
"(nrs) Neighborhood Services - General Information",4157,0,315613,2015-05-27,0,47,225588,NA
"(nrs) Garbage/Debris On Property",1509,-74.2421925,315614,2015-05-27,40.7389178,48,225589,"47 MIDLAND PL"
"(nrs) Sanitation and Recyling General Information",4438,0,315615,2015-05-27,0,49,225590,NA
"(cfwb) CFWB - General Information",4128,0,315616,2015-05-27,0,50,225591,NA
"(nrs) Sanitation and Recyling General Information",4438,0,315617,2015-05-27,0,51,225592,NA
"(cfwb) Rodent Control Complaint - 07108",256315,-74.208164,315618,2015-05-27,40.720722,52,225593,"66 NAIRN PL"
"(nrs) Garbage/Debris On Property",1509,-74.2083994,315619,2015-05-27,40.7209001,53,225594,"62 NAIRN PL"
"(cfwb) Animal Control Complaint - 07104",256294,-74.1511889,315620,2015-05-27,40.7797522,54,225595,"2313 McCarter Hwy"
"(cfwb) Animal Control Complaint - 07103",256293,-74.203638,315621,2015-05-27,40.735145,55,225596,"531B S 11TH ST"
"(nrs) No Heat/Hot Water",1524,-74.1672108,315622,2015-05-27,40.7712796,56,225597,"575 MT PROSPECT AVE"
"(nrs) Christmas Tree Pickup - North",99998,-74.180425,315623,2015-05-27,40.777172,57,225598,"641 N 9TH ST"
"(cfwb) Animal Control Complaint - 07108",256298,-74.2003773,315624,2015-05-27,40.7184481,58,225599,"724 HUNTERDON ST"
"(nrs) Illegal Dumping",1492,-74.2155099,315625,2015-05-27,40.7165924,59,225600," SHAW AVE"
"(nrs) Christmas Tree Pickup - Central",99996,-74.202881,315626,2015-05-27,40.730156,60,225601,"33 KENT ST"
"(nrs) Christmas Tree Pickup - West",100000,-74.190516,315627,2015-05-27,40.7615679,61,225602,"187 N 11TH ST"
"(eng) Traffic and Signals Transfers",1882,0,315628,2015-05-27,0,62,225603,NA
"(cfwb) Animal Control Complaint - 07112",256299,-74.2045049,315629,2015-05-27,40.7112488,63,225604,"935 HUNTERDON ST"
"(nrs) Sanitation and Recyling General Information",4438,0,315631,2015-05-27,0,64,225605,NA
"(cfwb) Animal Control Complaint - 07112",256299,-74.2164149,315630,2015-05-27,40.7097528,65,225606,"227 POMONA AVE"
"(eng) Sign Damaged/Leaning/Missing",1153,-74.1785952,315632,2015-05-27,40.7691633,66,225607,"76 ABINGTON AVE"
"(eng) Sign Damaged/Leaning/Missing",1153,-74.1701108,315633,2015-05-27,40.7768986,67,225608," HELLER PKWY"
"(nrs) Garbage/Debris On Property",1509,-74.175721,315634,2015-05-27,40.756431,68,225609,"143 MT PROSPECT AVE"
"(nrs) Code Enforcement Transfers",1878,0,315635,2015-05-27,0,69,225610,NA
"(nrs) Christmas Tree Pickup - North",99998,-74.181944,315637,2015-05-27,40.771634,70,225611,"230 BERKELEY AVE"
"(nrs) Code Enforcement Inspection Requests",1906,-74.189867,315636,2015-05-27,40.7219399,71,225612,"21 MILFORD AVE"
"(nrs) Sanitation Missed Pick-up ",1526,-74.2205097,315638,2015-05-27,40.7178245,72,225613," LORETTO ST"
"(eng) Building Dept. Investigations",2149,-74.1926317,315639,2015-05-27,40.749353,73,225614,"24 N 6TH ST"
"(nrs) Sanitation and Recyling General Information",4438,0,315640,2015-05-27,0,74,225615,NA
"(nrs) Sanitation and Recyling General Information",4438,0,315641,2015-05-27,0,75,225616,NA
"(cfwb) Animal Control Complaint - 07103",256293,-74.1935047,315642,2015-05-27,40.7356368,76,225617," HUNTERDON ST"
"(nrs) Christmas Tree Pickup - East",99997,-74.1500673,315643,2015-05-27,40.7292444,77,225618,"308 FERRY ST"
"(nrs) Christmas Tree Pickup - West",100000,-74.2259448,315644,2015-05-27,40.7433288,78,225619,"72 SUNSET AVE"
"(cfwb) Health Inspections - 07112 and 07114",268042,-74.194915,315645,2015-05-27,40.74736,79,225620,"86 S 8TH ST"
"(cfwb) Health Inspections - 07107 and 07103(even)",268034,-74.2067126,315646,2015-05-27,40.7376609,80,225621,"505 S 15TH ST"
"(cfwb) Animal Control Complaint - 07104",256294,0,315647,2015-05-27,0,81,225622,"210 "
"(cfwb) Animal Control Complaint - 07104",256294,-74.174854,315648,2015-05-27,40.757354,82,225623,"176 GARSIDE ST"
"(mc) Court Violations Transfers",1899,0,315649,2015-05-27,0,83,225624,NA
"(nrs) Sanitation and Recyling General Information",4438,0,315650,2015-05-27,0,84,225625,NA
"(nrs) Illegal Dumping",1492,-74.2090042,315651,2015-05-27,40.7202739,85,225626,"48 MILLINGTON AVE"
"(cfwb) Health Inspections - 07108 and 07103(odd)",268036,-74.1759239,315652,2015-05-27,40.7437791,86,225627,"1 SUSSEX AVE"
"(pol) Police Department - General Information",5347,0,315653,2015-05-27,0,87,225628,NA
"(nrs) Recycling Missed Pick-up",1532,-74.2107228,315654,2015-05-27,40.7180802,88,225629,"2 WOLCOTT TER"
"(nrs) Code Enforcement Inspection Requests",1906,-74.1769623,315655,2015-05-27,40.7799147,89,225630,"864 N 7TH ST"
"(cfwb) Health Inspections - 07104",268035,-74.1694844,315656,2015-05-27,40.7506053,90,225631,"326 BROAD ST"
"(nrs) Sanitation Missed Pick-up ",1526,-74.1949992,315657,2015-05-27,40.7157499,91,225632,"51 W RUNYON ST"
"(nrs) Christmas Tree Pickup - East",99997,-74.1649063,315658,2015-05-27,40.73121,92,225633,"109 HAMILTON ST"
"(nrs) Code Enforcement Inspection Requests",1906,-74.1560754,315659,2015-05-27,40.7750456,93,225634,"49 RIVERSIDE CT"
"(cfwb) Animal Control Complaint - 07103",256293,-74.1849587,315660,2015-05-27,40.733676,94,225635,"196 COURT ST"
"(nrs) White Goods - North Ward",62206,-74.1682797,315661,2015-05-27,40.7791003,95,225636,"657 HIGHLAND AVE"
"(oa) Outside Agency - Other Govt. transfers",8243,0,315662,2015-05-27,0,96,225637,NA
"(nrs) Christmas Tree Pickup - South",99999,-74.214739,315663,2015-05-27,40.711658,97,225638,"21 IRVING AVE"
"(nrs) No Heat/Hot Water",1524,-74.1736014,315664,2015-05-27,40.7552868,98,225639,"21 PARK AVE"
"(nrs) Recycling Missed Pick-up",1532,-74.219196,315665,2015-05-27,40.706148,99,225640,"196 KEER AVE"
"(nrs) Sanitation and Recyling General Information",4438,0,315666,2015-05-27,0,100,225641,NA
"(nrs) Christmas Tree Pickup - Central",99996,-74.2054872,315667,2015-05-27,40.732849,101,225642,"601 S 12TH ST"
"(nrs) White Goods - East Ward",62205,-74.163554,315668,2015-05-27,40.724461,102,225643,"278 E KINNEY ST"
"(nrs) Grass/Leaf/Yard Waste Collections",1529,-74.1799199,315669,2015-05-27,40.7587194,103,225644,"231 LAKE ST"
"(nrs) Illegal Dumping",1492,-74.227348,315670,2015-05-27,40.738133,104,225645,"231-233 WEST END AVE"
"(cfwb) Health Inspections - 07105",268041,-74.1612177,315671,2015-05-27,40.7262573,105,225646,"304 WALNUT ST"
"(nrs) Sanitation Missed Pick-up ",1526,-74.1938298,315672,2015-05-27,40.7210155,106,225647,"378 IRVINE TURNER BLVD"
"(nrs) White Goods - North Ward",62206,-74.184727,315673,2015-05-27,40.7715823,107,225648,"214 N 10TH ST"
"(cfwb) Health Inspections - 07107 and 07103(even)",268034,-74.1893173,315674,2015-05-27,40.7455515,108,225649,"105-107 HARTFORD ST"
"(nrs) Sanitation and Recyling General Information",4438,0,315675,2015-05-27,0,109,225650,NA
"(nrs) Christmas Tree Pickup - Central",99996,-74.201538,315676,2015-05-27,40.732981,110,225651,"23 HOLLAND ST"
"(nrs) Christmas Tree Pickup - West",100000,-74.2050892,315677,2015-05-27,40.7319431,111,225652,"493 18TH AVE"
"(council) Call Transfer to Council Office - Central",2916,0,315678,2015-05-27,0,112,225653,NA
"(cfwb) Rodent Control Complaint - 07108",256315,-74.202871,315679,2015-05-27,40.724704,113,225654,"56 TREACY AVE"
"(eng) Potholes",3616,-74.1907103,315680,2015-05-27,40.7223856,114,225655," JOHNSON AVE"
"(nrs) Illegal Dumping",1492,-74.1907103,315681,2015-05-27,40.7223856,115,225656," JOHNSON AVE"
"(oa) Outside Agency - Other Govt. Information",8241,0,315682,2015-05-27,0,116,225657,NA
"(nrs) Christmas Tree Pickup - Central",99996,-74.1784517,315683,2015-05-27,40.7518417,117,225658,"14 MT PROSPECT AVE"
"(law) Call Transfer To Law Department",2099,0,315684,2015-05-27,0,118,225659,NA
"(oa) Outside Agency - Other Govt. Information",8241,0,315685,2015-05-27,0,119,225660,NA
"(cfwb) Animal Control Complaint - 07103",256293,-74.194092,315686,2015-05-27,40.74254,120,225661,"130 LITTLETON AVE"
"(cfwb) Animal Control Complaint - 07103",256293,-74.1890371,315688,2015-05-27,40.7301375,121,225662,"5 CLARION LN"
"(nrs) Sanitation and Recyling General Information",4438,-74.2240985,315687,2015-05-27,40.6907914,122,225663,"309 SANDFORD AVE"
"(nrs) NS Director's Office Transfer",1880,0,315689,2015-05-27,0,123,225664,NA
"(nrs) Sanitation Missed Pick-up ",1526,-74.1621808,315690,2015-05-27,40.7230595,124,225665,"274 ADAMS ST"
"(nrs) Christmas Tree Pickup - East",99997,-74.168093,315691,2015-05-27,40.7263469,125,225666,"170 E KINNEY ST"
"(nrs) Garbage/Debris On Property",1509,-74.1773273,315692,2015-05-27,40.7579608,126,225667,"154 RIDGE ST"
"(nrs) Christmas Tree Pickup - Central",99996,-74.1820754,315693,2015-05-27,40.7489248,127,225668,"14 JAY ST"
"(nrs) White Goods - South Ward",62212,-74.21673,315694,2015-05-27,40.710149,128,225669,"399 CLINTON PL"
"(nrs) White Goods - South Ward",62212,-74.2092711,315695,2015-05-27,40.7118233,129,225670,"176 SCHEERER AVE"
"(nrs) White Goods - South Ward",62212,-74.215176,315697,2015-05-27,40.714554,130,225671,"34 WILLOUGHBY ST"
"(nrs) Sanitation Missed Pick-up ",1526,-74.1688111,315698,2015-05-27,40.7696458,131,225672," MT PROSPECT AVE"
"(nrs) Sanitation Missed Pick-up ",1526,-74.184243,315699,2015-05-27,40.749701,132,225673,"22 DURYEA ST"
"(nrs) Sanitation and Recyling General Information",4438,0,315700,2015-05-27,0,133,225674,NA
"(nrs) Illegal Apartment Conversion",2409,-74.180322,315701,2015-05-27,40.769024,134,225675,"607 N 5th St"
"(nrs) Garbage/Debris On Property",1509,-74.1989825,315702,2015-05-27,40.7522765,135,225676,"97 9TH AVE"
"(nrs) Christmas Tree Pickup - East",99997,0,315703,2015-05-27,0,136,225677,"135 "
"(nrs) Sanitation Missed Pick-up ",1526,-74.216019,315704,2015-05-27,40.717483,137,225678,"65 HOBSON ST"
"(nrs) Christmas Tree Pickup - East",99997,-74.137081,315705,2015-05-27,40.7312375,138,225679,"29 MANUFACTURERS PL"
"(nrs) Christmas Tree Pickup - West",100000,-74.2302018,315706,2015-05-27,40.7430974,139,225680,"97 STUYVESANT AVE"
"(cfwb) Animal Control Complaint - 07107",256297,-74.1957878,315707,2015-05-27,40.752335,140,225681,"61 S 11TH ST"
"(nrs) Christmas Tree Pickup - Central",99996,-74.18385,315708,2015-05-27,40.748261,141,225682,"195 SUSSEX AVE"
"(nrs) Recycling Missed Pick-up",1532,-74.1725781,315709,2015-05-27,40.7232308,142,225683,"116 TICHENOR ST"
"(nrs) Recycling Missed Pick-up",1532,-74.1658368,315710,2015-05-27,40.7234306,143,225684,"233 CHESTNUT ST"
"(nrs) Sanitation and Recyling General Information",4438,0,315711,2015-05-27,0,144,225685,NA
"(cfwb) Animal Control Complaint - 07107",256297,-74.1958626,315712,2015-05-27,40.7521836,145,225686,"65 S 11TH ST"
"(cfwb) Health Inspections - 07108 and 07103(odd)",268036,-74.205949,315713,2015-05-27,40.726918,146,225687,"347 AVON AVE"
"(nrs) Garbage/Debris On Property",1509,-74.1952699,315714,2015-05-27,40.740322,147,225688,"198 LITTLETON AVE"
"(hr) Transfer Call to Human Resources",1978,0,315715,2015-05-27,0,148,225689,NA
"(nrs) Sanitation and Recyling General Information",4438,0,315716,2015-05-27,0,149,225690,NA
"(ws) Water and Sewer - General Information",5443,0,315717,2015-05-27,0,150,225691,NA
"Missed Garbage Pickup",248754,-74.1796119,315718,2015-05-27,40.750419,151,225692,"25 CLIFTON AVE"
"(oa) Outside Agency - Other Govt. Information",8241,0,315719,2015-05-27,0,152,225693,NA
"(nrs) Christmas Tree Pickup - West",100000,-74.230981,315720,2015-05-27,40.749449,153,225694,"358 SANDFORD AVE"
"(nrs) Christmas Tree Pickup - West",100000,-74.2053185,315721,2015-05-27,40.7321008,154,225695,"501 18TH AVE"
"(cfwb) Animal Control Complaint - 07102",256289,-74.1765059,315722,2015-05-27,40.7368146,155,225696," UNIVERSITY AVE"
"(cfwb) Animal Control Complaint - 07114",256300,-74.2006881,315723,2015-05-27,40.6977763,156,225697,"120 DAYTON ST"
"(cfwb) Animal Control Complaint - 07104",256294,-74.1841852,315724,2015-05-27,40.7481336,157,225698,"200 SUSSEX AVE"
"(eng) Potholes",3616,-74.1682993,315725,2015-05-27,40.7587317,158,225699," 3RD AVE"
"(nrs) Sanitation and Recyling General Information",4438,0,315726,2015-05-27,0,159,225700,NA
"(cfwb) Animal Control Complaint - 07103",256293,-74.1851884,315727,2015-05-27,40.7254166,160,225701," QUITMAN ST"
"(nrs) Sanitation and Recyling General Information",4438,0,315728,2015-05-27,0,161,225702,NA
"(nrs) Sanitation Missed Pick-up ",1526,-74.1695271,315729,2015-05-27,40.7677241,162,225703," MT PROSPECT AVE"
"(nrs) Sanitation and Recyling General Information",4438,0,315730,2015-05-27,0,163,225704,NA
"(nrs) Christmas Tree Pickup - West",100000,-74.2422182,315732,2015-05-27,40.7370335,164,225705,"97 NORMAN RD"
"(nrs) Sanitation Missed Pick-up ",1526,-74.1592263,315731,2015-05-27,40.7750601,165,225706," GRAFTON AVE"
"(nrs) Christmas Tree Pickup - West",100000,-74.2428497,315733,2015-05-27,40.7345349,166,225707,"96 Sanford Pl"
"(nrs) White Goods - West Ward",62204,-74.2199249,315734,2015-05-27,40.781389,167,225708,"39 KEARNEY ST"
"(nrs) Sanitation Missed Pick-up ",1526,-74.186273,315735,2015-05-27,40.7444361,168,225709," HARTFORD ST"
"(cfwb) Rodent Control Complaint - 07104",256310,-74.173379,315736,2015-05-27,40.757288,169,225710,"136 4TH AVE"
"(eng) Traffic Signal Knocked Down - Business Hours",1173,-74.2102003,315737,2015-05-27,40.733195,170,225711," 18TH AVE"
"(nrs) Garbage Put Out Incorrectly",1507,-74.173455,315738,2015-05-27,40.757329,171,225712,"138 4TH AVE"
"(nrs) Grass/Leaf/Yard Waste Collections",1529,-74.2331906,315739,2015-05-27,40.7448216,172,225713,"27 HAZELWOOD AVE"
"(pol) Police - Abandoned Vehicle",69754,-74.1785952,315740,2015-05-27,40.7691633,173,225714,"76 ABINGTON AVE"
"(nrs) Sanitation and Recyling General Information",4438,0,315741,2015-05-27,0,174,225715,NA
"(nrs) Illegal Dumping",1492,-74.1773273,315742,2015-05-27,40.7579608,175,225716,"154 RIDGE ST"
"(nrs) Sanitation and Recyling General Information",4438,0,315743,2015-05-27,0,176,225717,NA
"(nrs) Sanitation and Recyling General Information",4438,0,315744,2015-05-27,0,177,225718,NA
"(nrs) Code Enforcement Inspection Requests",1906,-74.1691655,315745,2015-05-27,40.778782,178,225719,"265 GRAFTON AVE"
"(nrs) Illegal Dumping",1492,-74.1728025,315746,2015-05-27,40.7376721,179,225720,"143 HALSEY ST"
"(nrs) Illegal Dumping",1492,-74.1728753,315747,2015-05-27,40.737815,180,225721,"141 HALSEY ST"
"(nrs) Christmas Tree Pickup - South",99999,-74.2139324,315748,2015-05-27,40.7200037,181,225722,"94 GIRARD PL"
"(nrs) Christmas Tree Pickup - West",100000,-74.2364037,315749,2015-05-27,40.7392795,182,225723,"23 VARSITY RD"
"(nrs) Neighborhood Services - General Information",4157,0,315750,2015-05-27,0,183,225724,NA
"(nrs) Christmas Tree Pickup - West",100000,-74.230626,315751,2015-05-27,40.744865,184,225725,"206 SMITH ST"
"(nrs) Sanitation Missed Pick-up ",1526,-74.211207,315752,2015-05-27,40.732363,185,225726,"690 S 18TH ST"
"(nrs) Christmas Tree Pickup - East",99997,-74.1685002,315753,2015-05-27,40.7279732,186,225727,"33 NEW YORK AVE"
"(nrs) Christmas Tree Pickup - West",100000,-74.2367216,315754,2015-05-27,40.733939,187,225728,"374 CHAPMAN ST"
"(nrs) Sanitation and Recyling General Information",4438,0,315755,2015-05-27,0,188,225729,NA
"(nrs) Sanitation Missed Pick-up ",1526,-74.187861,315756,2015-05-27,40.746211,189,225730,"55 MORRIS AVE"
"(nrs) Recycling Missed Pick-up",1532,-74.2094905,315757,2015-05-27,40.7249937,190,225731,"833 S 13TH ST"
"(nrs) Sanitation Missed Pick-up ",1526,-74.18659,315758,2015-05-27,40.7448,191,225732,"53 HARTFORD ST"
"(nrs) Sanitation Missed Pick-up ",1526,-74.2438794,315759,2015-05-27,40.7413498,192,225733,"78 WOODBINE AVE"
"(nrs) Code Enforcement Inspection Requests",1906,-74.2179053,315760,2015-05-27,40.7097397,193,225734,"265 GOLDSMITH AVE"
"(nrs) Code Enforcement Transfers",1878,0,315761,2015-05-27,0,194,225735,NA
"(nrs) No Heat/Hot Water",1524,-74.190029,315762,2015-05-27,40.761641,195,225736,"168 N 9TH ST"
"(nrs) Code Enforcement Inspection Requests",1906,-74.190029,315763,2015-05-27,40.761641,196,225737,"168 N 9TH ST"
"(fin) Tax Bill Call Transfer",1946,0,315764,2015-05-27,0,197,225738,NA
"(fin) Tax Bill Call Transfer",1946,0,315765,2015-05-27,0,198,225739,NA
"(nrs) Sanitation and Recyling General Information",4438,0,315766,2015-05-27,0,199,225740,NA
"(nrs) Code Enforcement Inspection Requests",1906,-74.1918957,315767,2015-05-27,40.7620343,200,225741,"162 N 12TH ST"
"(nrs) Christmas Tree Pickup - South",99999,-74.2139324,315768,2015-05-27,40.7200037,201,225742,"94 GIRARD PL"
"(nrs) Christmas Tree Pickup - West",100000,-74.2359711,315769,2015-05-27,40.7472615,202,225743,"48 LONGFELLOW AVE"
"(nrs) Grass/Leaf/Yard Waste Collections",1529,-74.1829655,315770,2015-05-27,40.772883,203,225744,"507 N 9TH ST"
"(nrs) Code Enforcement Transfers",1878,0,315771,2015-05-27,0,204,225745,NA
"(nrs) Neighborhood Services - General Information",4157,0,315772,2015-05-27,0,205,225746,NA
"(hr) Transfer Call to Human Resources",1978,0,315773,2015-05-27,0,206,225747,NA
"(nrs) Snow and Ice Issues (City streets/avenues/roads)",6533,-74.178564,315774,2015-05-27,40.7321452,207,225748," UNIVERSITY AVE"
"(nrs) Snow and Ice Issues (City streets/avenues/roads)",6533,-74.165889,315776,2015-05-27,40.775489,208,225749," MT PROSPECT AVE"
"(nrs) Snow and Ice Issues (City streets/avenues/roads)",6533,0,315775,2015-05-27,0,209,225750,NA
"(cfwb) Animal Control Complaint - 07108",256298,-74.2039725,315777,2015-05-27,40.7255057,210,225751,"20 BALDWIN AVE"
"(oa) Outside Agency - Other Govt. transfers",8243,0,315778,2015-05-27,0,211,225752,NA
"(nrs) Sanitation and Recyling General Information",4438,0,315779,2015-05-27,0,212,225753,NA
"(nrs) Christmas Tree Pickup - East",99997,-74.173442,315780,2015-05-27,40.7206574,213,225754,"25 GOBLE ST"
"(nrs) Sanitation and Recyling General Information",4438,0,315781,2015-05-27,0,214,225755,NA
"(nrs) No Heat/Hot Water",1524,-74.1796119,315782,2015-05-27,40.750419,215,225756,"25 CLIFTON AVE"
"(cfwb) Rodent Control Complaint - 07106",256312,-74.226288,315783,2015-05-27,40.7398743,216,225757,"50 LINDSLEY AVE"
"(nrs) Snow and Ice Issues (City streets/avenues/roads)",6533,-74.1701842,315784,2015-05-27,40.761946,217,225758," SUMMER AVE"
"(cfwb) Animal Control Complaint - 07103",256293,-74.213824,315785,2015-05-27,40.730634,218,225759,"752 S 20TH ST"
"(nrs) Sanitation and Recyling General Information",4438,0,315786,2015-05-27,0,219,225760,NA
"(cfwb) Health Inspections - 07104",268035,-74.179853,315787,2015-05-27,40.757278,220,225761,"137 PARK AVE"
"(nrs) Sanitation and Recyling General Information",4438,0,315788,2015-05-27,0,221,225762,NA
"(nrs) Sanitation and Recyling General Information",4438,0,315789,2015-05-27,0,222,225763,NA
"(nrs) Sanitation and Recyling General Information",4438,0,315790,2015-05-27,0,223,225764,NA
"(nrs) Sanitation Missed Pick-up ",1526,-74.2229606,315791,2015-05-27,40.7432203,224,225765,"59 WEST END AVE"
"(mayor) Public Information Transfers",1885,0,315792,2015-05-27,0,225,225766,NA
"(cfwb) Animal Control Complaint - 07102",256289,-74.179774,315793,2015-05-27,40.728827,226,225767,"471 WASHINGTON ST"
"(nrs) Sanitation and Recyling General Information",4438,0,315794,2015-05-27,0,227,225768,NA
"(nrs) Code Enforcement Inspection Requests",1906,-74.1845725,315795,2015-05-27,40.726986,228,225769,"98 QUITMAN ST"
"(nrs) Sanitation and Recyling General Information",4438,0,315796,2015-05-27,0,229,225770,NA
"Missed Garbage Pickup",248754,-74.1866219,315797,2015-05-27,40.754051,230,225771,"184 3RD ST"
"(nrs) Sanitation and Recyling General Information",4438,0,315798,2015-05-27,0,231,225772,NA
"(nrs) Sanitation Missed Pick-up ",1526,-74.173591,315799,2015-05-27,40.75546,232,225773,"130 SUMMER AVE"
"(nrs) Sanitation and Recyling General Information",4438,0,315800,2015-05-27,0,233,225774,NA
"(nrs) No Heat/Hot Water",1524,-74.1910628,315801,2015-05-27,40.7368707,234,225775,"39a 14TH AVE"
"(nrs) Sanitation and Recyling General Information",4438,0,315802,2015-05-27,0,235,225776,NA
"(nrs) Christmas Tree Pickup - South",99999,-74.2099196,315803,2015-05-27,40.7170205,236,225777,"27 GOODWIN AVE"
"(cfwb) CFWB - General Information",4128,0,315804,2015-05-27,0,237,225778,NA
"(nrs) Sanitation and Recyling General Information",4438,0,315805,2015-05-27,0,238,225779,NA
